model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
deep_sets_mean_max,23456,1,1000,72.64528948742976,91,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,2,1001,496.7042501475478,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,3,1002,23.145809911363976,40,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,4,1003,36.878057943380256,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,5,1004,317.76493915535804,379,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,6,1005,504.88092154573553,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean_max,23456,7,1006,20.59731021197286,31,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,8,1007,86.43075099536564,105,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,9,1008,26.45056204824464,40,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,10,1009,298.6981404417805,370,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,11,1010,40.69449960904468,55,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,12,1011,356.5334792165652,434,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,13,1012,30.049447613943933,42,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,14,1013,35.66470966986384,43,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,15,1014,38.459286591682115,56,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,16,1015,24.790552699486692,36,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,17,1016,21.995088324365394,34,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,18,1017,51.58020803602697,62,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,19,1018,40.56336418581266,48,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,20,1019,26.520578935438888,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,21,1020,40.22873238269623,49,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,22,1021,35.1962145660584,43,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,23,1022,504.56089355697776,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean_max,23456,24,1023,498.2636122320833,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean_max,23456,25,1024,22.5875777757833,41,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,26,1025,231.6436613513573,289,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,27,1026,19.049086577540667,28,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,28,1027,21.987185977826908,34,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,29,1028,24.105435945237186,37,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,30,1029,12.589735898507296,27,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,31,1030,30.51048287662278,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,32,1031,502.5063957154238,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean_max,23456,33,1032,27.500065804135264,47,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,34,1033,239.74936778544395,301,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean_max,23456,35,1034,20.482902514792155,35,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,36,1035,42.69784583900948,53,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,37,1036,22.634579846625854,33,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,38,1037,23.825740703752604,40,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,39,1038,21.312437800345617,33,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,40,1039,23.786776193702156,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,41,1040,118.11942855487732,144,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,42,1041,41.11894528588813,49,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,43,1042,40.89027768070945,50,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,44,1043,36.998708975771756,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,45,1044,41.91334431526955,56,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean_max,23456,46,1045,503.19926406151745,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,47,1046,45.92349450081098,59,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean_max,23456,48,1047,35.33389551738601,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,49,1048,38.69633848566868,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean_max,23456,50,1049,503.81256741185865,600,0,0,0,1,overtake_blocked,actor,,,,,,
