model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
self_attention,23456,1,1000,33.94508936512206,49,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,2,1001,28.488264392799348,34,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,3,1002,20.636588440178,39,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,4,1003,40.74228535904397,61,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,5,1004,463.98677060200725,558,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,6,1005,363.8381629460232,433,1,0,1,0,stay_best,actor,,,,,,
self_attention,23456,7,1006,15.142668001118091,31,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,8,1007,76.91576960674495,96,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,9,1008,19.52492044707123,40,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,10,1009,236.30505639475996,283,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,11,1010,45.49600396843889,65,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,12,1011,26.680933011637855,34,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,13,1012,29.03293840321943,43,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,14,1013,197.01946820977722,250,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,15,1014,30.17157618818205,55,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,16,1015,18.111587921821965,35,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,17,1016,16.935102515068593,34,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,18,1017,47.429373463829045,58,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,19,1018,513.6239306233272,600,0,0,0,1,overtake_easy,actor,,,,,,
self_attention,23456,20,1019,20.88789186945793,41,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,21,1020,459.52572949569793,549,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,22,1021,50.55776483072544,75,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,23,1022,320.03484356657896,388,1,0,1,0,stay_best,actor,,,,,,
self_attention,23456,24,1023,507.46891665727964,600,0,0,0,1,stay_best,actor,,,,,,
self_attention,23456,25,1024,20.527258717455293,41,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,26,1025,251.7362988949762,287,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,27,1026,13.37176687526109,28,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,28,1027,16.89564379326615,33,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,29,1028,18.8083653167026,36,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,30,1029,12.626762985281093,27,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,31,1030,22.86598650875065,43,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,32,1031,208.51108995377857,259,1,0,1,0,stay_best,actor,,,,,,
self_attention,23456,33,1032,25.234127379308514,46,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,34,1033,184.79757133035207,238,1,0,1,0,stay_best,actor,,,,,,
self_attention,23456,35,1034,16.217367105085902,34,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,36,1035,509.65147367936737,600,0,0,0,1,overtake_easy,actor,,,,,,
self_attention,23456,37,1036,16.221295396948907,32,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,38,1037,20.189276094201606,39,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,39,1038,16.52391984791209,33,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,40,1039,21.57862823399602,42,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,41,1040,152.15568480365462,192,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,42,1041,257.84598098848176,318,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,43,1042,521.9325010514227,600,0,0,0,1,overtake_easy,actor,,,,,,
self_attention,23456,44,1043,507.25844956834936,600,0,0,0,1,overtake_easy,actor,,,,,,
self_attention,23456,45,1044,507.8219705130286,600,0,0,0,1,stay_best,actor,,,,,,
self_attention,23456,46,1045,263.4358487434669,329,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,47,1046,41.77332508747046,55,1,0,1,0,overtake_blocked,actor,,,,,,
self_attention,23456,48,1047,507.05467561581503,600,0,0,0,1,overtake_easy,actor,,,,,,
self_attention,23456,49,1048,152.42419492127212,185,1,0,1,0,overtake_easy,actor,,,,,,
self_attention,23456,50,1049,69.43013987426092,85,1,0,1,0,overtake_blocked,actor,,,,,,
