iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4100,7.231041,2.717139,-0.008712,72.72
2,8200,7.360862,2.806515,-0.006026,73.85
3,12301,8.02544,3.286877,-0.010144,72.47
4,16399,9.803828,4.582387,-0.012704,71.23
5,20508,12.840625,6.962146,-0.013216,71.06
6,24606,19.421801,11.962237,-0.007096,69.37
7,28707,25.006098,16.686752,-0.001246,71.82
8,32808,27.709459,18.646483,-0.000641,84.12
9,36940,26.831169,18.193107,-0.00194,86.61
10,41057,28.19863,19.3647,-0.001326,80.4
11,45158,27.34,18.699931,-0.002754,74.66
12,49256,31.767442,22.335813,-0.000818,72.69
13,53373,31.427481,21.956996,-0.00169,72.97
14,57478,33.373984,23.262994,-0.001558,73.39
15,61588,34.25,23.981025,-0.000914,72.56
16,65684,33.85124,24.026503,-0.001197,72.41
17,69808,36.821429,26.219172,-0.001244,74.7
18,73923,43.315789,32.177069,-0.001005,79.59
19,78112,40.278846,29.327825,-0.002405,78.47
20,82214,50.02439,37.462099,0.000109,72.49
21,86339,45.833333,33.716665,-0.000994,72.69
22,90542,48.872093,36.092961,-0.002093,74.28
23,94767,49.705882,36.683131,-0.001007,74.74
24,98869,73.25,57.676058,-0.001235,73.17
25,102973,78.923077,61.73569,-0.000438,72.77
