"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","1","4098","18.132743","11.019306","-0.002613","44.79"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","2","8200","18.394619","11.16587","-0.002529","43.41"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","3","12310","19.571429","12.056456","-0.002562","43.11"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","4","16436","18.754545","11.116586","-0.001665","47.04"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","5","20542","23.067416","14.714172","-0.001428","45.91"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","6","24647","22.554945","14.071083","-0.001358","41.95"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","7","28797","24.702381","15.503962","-0.00113","49.47"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","8","32894","22.145946","13.798063","-0.000909","48.96"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","9","37029","26.006289","16.983091","-0.001021","49.71"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","10","41132","28.493056","18.999389","-0.000339","48.06"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","11","45237","25.65625","16.739895","-0.000406","48.91"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","12","49349","27.413333","18.011655","-0.000476","49.33"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","13","53449","26.797386","17.747043","-0.00057","43.8"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","14","57562","28.5625","19.020113","-0.000645","44.86"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","15","61684","29.028169","19.302543","-0.000699","46.29"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","16","65822","27.403974","18.215745","-0.000753","49.08"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","17","69925","29.948905","20.262768","-0.000899","47.57"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","18","74058","33.330645","23.162129","-0.000702","49.94"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","19","78168","27.218543","17.965131","-0.000804","46.75"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","20","82272","34.487395","23.839343","-0.000788","47.41"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","21","86378","33.112903","22.178702","-0.000561","46.5"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","22","90501","34.358333","23.770882","-0.000805","45.13"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","23","94627","38.203704","27.088181","-0.000629","50.6"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","24","98753","34.966102","24.047946","-0.000764","48.88"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","25","102910","37.116071","25.961352","-0.000768","49.24"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","1","4102","18.816514","11.055815","-0.002966","62.8"
