"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","1","4098","14.082474","7.974322","-0.003032","55.11"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","2","8210","16.514056","9.690371","-0.003593","49.78"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","3","12322","16.580645","9.731672","-0.003072","48.77"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","4","16429","16.971074","9.867891","-0.00267","51.1"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","5","20536","19.84058","12.051228","-0.002699","49.2"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","6","24650","20.57","12.81373","-0.002052","48.1"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","7","28751","21.030769","13.205056","-0.001683","47.96"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","8","32848","23.146893","14.854316","-0.001587","48.62"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","9","36947","24.39881","15.824289","-0.001061","50.38"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","10","41084","25.22561","16.621989","-0.001073","46.65"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","11","45210","25.312883","16.499098","-0.00079","44.4"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","12","49339","27.164474","17.895027","-0.000644","48.38"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","13","53483","27.084967","17.656794","-0.000609","43.47"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","14","57599","25.886792","16.987584","-0.000706","49.38"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","15","61742","27.078431","18.128341","-0.000571","48.08"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","16","65883","29.791367","20.146101","-0.000541","50.65"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","17","69990","28.922535","19.210659","-0.000555","47.48"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","18","74133","30.021739","20.380727","-0.000649","41.89"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","19","78240","33.942149","23.456342","-0.000448","42.79"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","20","82340","29.078014","19.672799","-0.000692","41.02"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","21","86440","32.539683","22.847578","-0.000705","42.2"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","22","90576","33.901639","23.628436","-0.000537","43.14"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","23","94702","34.672269","24.367877","-0.000475","40.78"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","24","98811","33.958678","23.833816","-0.000637","40.31"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","25","102948","39.778846","28.635803","-0.000538","40.46"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","26","107078","38.598131","27.518256","-0.000545","40.54"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","27","111270","37.765766","27.16186","-0.000746","41.03"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","28","115394","38.90566","27.598883","-0.000759","41.11"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","29","119508","39.180952","28.475199","-0.000642","40.09"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","30","123666","42.0","30.593543","-0.000667","40.39"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","31","127763","48.77381","36.179859","-0.000643","39.49"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","32","131863","44.565217","32.300775","-0.000387","41.19"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","33","136043","48.045977","35.732123","-0.000377","40.44"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","34","140173","50.365854","36.791928","-0.000441","40.72"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","35","144322","53.883117","40.712846","-0.000569","40.45"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","36","148447","44.836957","32.245888","-0.000535","40.62"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","37","152625","59.685714","44.65402","-0.000566","41.73"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","38","156734","54.065789","41.183355","-0.000714","39.74"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","39","160924","59.014085","44.658497","-0.000521","41.21"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","40","165030","65.174603","49.177293","-0.000352","39.97"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","41","169239","67.887097","52.086018","-0.000349","41.0"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","42","173449","72.586207","56.547845","-0.000516","41.12"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","43","177560","72.122807","55.012702","-0.000586","40.69"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","44","181914","85.372549","66.637499","-0.000487","43.27"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","45","186010","66.064516","50.686132","-0.000544","40.39"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","46","190208","104.95","85.014111","-0.000278","42.68"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","47","194314","69.59322","53.477353","-0.000675","40.51"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","48","198493","70.830508","53.619691","-0.00029","42.0"
"basic_mlp","basic_mlp_01_curriculum_stage_3_mixed_traffic_training.csv","49","202640","94.25","74.134844","-0.00024","41.38"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","1","4097","19.417062","11.768023","-0.003205","47.54"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","2","8207","22.216216","13.789814","-0.00157","48.49"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","3","12332","19.927536","12.072674","-0.000619","47.76"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","4","16441","21.071795","13.228629","-0.000516","46.71"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","5","20538","21.677249","13.318311","-0.000793","46.43"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","6","24663","21.941489","13.572749","-0.00082","48.35"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","7","28782","23.809249","14.958598","-0.000492","47.65"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","8","32893","22.102151","13.820613","-0.000739","46.7"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","9","36991","23.417143","15.187505","-0.000754","46.88"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","10","41116","23.843931","15.07635","-0.000496","47.34"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","11","45227","23.763006","15.138117","-0.000793","46.36"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","12","49345","23.005587","14.477691","-0.000697","47.1"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","13","53468","26.094937","17.063231","-0.000815","46.63"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","14","57615","27.463576","17.967008","-0.000621","46.84"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","15","61740","25.621118","16.689398","-0.000679","46.39"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","16","65842","23.574713","15.035066","-0.000664","46.12"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","17","69938","28.054795","18.599086","-0.000434","45.65"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","18","74036","28.458333","18.496346","-0.00049","46.22"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","19","78134","32.267717","22.260423","-0.00042","45.78"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","20","82266","30.835821","20.378511","-0.000546","46.35"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","21","86365","35.336207","24.02856","-0.000707","46.2"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","22","90472","28.922535","19.107117","-0.000307","46.17"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","23","94600","30.80597","20.236139","-0.000698","46.18"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","24","98710","32.109375","21.852554","-0.000522","46.24"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","25","102806","32.507937","22.511208","-0.000349","45.78"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","26","106919","33.713115","23.50444","-0.00037","45.8"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","27","111036","39.209524","27.857897","-0.000497","45.89"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","28","115252","41.333333","29.450054","-0.000673","47.18"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","29","119348","37.236364","25.889972","-0.00037","45.87"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","30","123448","34.453782","24.158219","-0.00035","45.44"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","31","127569","34.057851","23.359093","-0.000738","46.03"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","32","131679","34.537815","23.822976","-0.000652","45.92"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","33","135782","34.478992","23.711316","-0.00022","45.94"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","34","139897","38.457944","26.755","-0.001601","45.58"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","35","144044","39.875","27.909394","-0.000193","46.0"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","36","148167","44.815217","31.243301","-0.000136","46.09"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","37","152276","37.018018","25.56015","-0.0005","45.75"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","38","156386","40.294118","28.417237","-0.000259","46.29"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","39","160525","43.114583","30.480691","-0.000334","46.26"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","40","164648","40.821782","28.897315","-0.000128","45.73"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","41","168774","39.295238","27.037326","-0.000484","45.54"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","42","172904","38.598131","26.662504","-0.000206","45.87"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","43","177000","44.043011","31.710966","-0.000276","45.72"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","44","181174","45.868132","32.572449","-0.000247","46.44"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","45","185272","48.211765","35.031981","-0.00034","46.37"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","46","189380","51.35","37.839191","-0.0003","45.84"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","47","193580","53.164557","38.376151","-0.000615","47.74"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","48","197713","46.965909","33.984023","-0.000408","45.82"
"deep_sets_mean","01_curriculum_stage_3_mixed_traffic_training.csv","49","201863","65.873016","49.775457","-0.000103","46.81"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","1","4136","17.020576","10.101337","-0.006693","47.86"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","2","8264","20.038835","12.269518","-0.004094","48.08"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","3","12382","24.081871","15.739226","-0.001664","46.82"
