iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4120,93.636364,73.525469,-0.000955,43.84
2,8242,93.681818,73.349981,-0.000912,44.47
3,12489,98.767442,77.643714,-0.000537,44.88
4,16614,91.666667,72.207142,-0.000473,42.95
5,20743,125.121212,100.505508,-0.000192,42.54
6,24891,96.465116,75.858584,-0.000575,43.76
7,29011,98.095238,77.346361,-1.3e-05,42.96
8,33161,103.75,81.751903,-0.000279,43.38
9,37262,124.272727,97.44606,-0.000365,43.12
10,41415,101.292683,79.111519,-5.3e-05,43.37
11,45658,114.675676,90.423186,-0.000549,45.69
12,49840,102.0,79.027575,-0.000282,43.82
13,54176,117.189189,93.151762,-0.000226,45.48
14,58412,128.363636,103.995201,-0.000303,43.44
15,62741,144.3,115.958948,-0.000623,45.6
16,66869,125.090909,98.682219,-0.00048,43.52
17,71158,134.03125,107.099186,-4.7e-05,45.03
18,75409,132.84375,106.018041,-0.000467,48.16
19,79608,123.5,98.69894,-0.000636,45.36
20,83828,108.205128,84.69003,-0.000814,46.04
21,87953,142.241379,113.000485,8.1e-05,45.26
22,92343,118.648649,93.845794,-0.000257,47.9
23,96543,155.555556,124.763203,-9.8e-05,44.84
24,100771,176.166667,142.763471,-0.00031,44.96
