"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"basic_mlp","basic_mlp_training_plus100k.csv","1","4120","93.636364","73.525469","-0.000955","43.84"
"basic_mlp","basic_mlp_training_plus100k.csv","2","8242","93.681818","73.349981","-0.000912","44.47"
"basic_mlp","basic_mlp_training_plus100k.csv","3","12489","98.767442","77.643714","-0.000537","44.88"
"basic_mlp","basic_mlp_training_plus100k.csv","4","16614","91.666667","72.207142","-0.000473","42.95"
"basic_mlp","basic_mlp_training_plus100k.csv","5","20743","125.121212","100.505508","-0.000192","42.54"
"basic_mlp","basic_mlp_training_plus100k.csv","6","24891","96.465116","75.858584","-0.000575","43.76"
"basic_mlp","basic_mlp_training_plus100k.csv","7","29011","98.095238","77.346361","-1.3e-05","42.96"
"basic_mlp","basic_mlp_training_plus100k.csv","8","33161","103.75","81.751903","-0.000279","43.38"
"basic_mlp","basic_mlp_training_plus100k.csv","9","37262","124.272727","97.44606","-0.000365","43.12"
"basic_mlp","basic_mlp_training_plus100k.csv","10","41415","101.292683","79.111519","-5.3e-05","43.37"
"basic_mlp","basic_mlp_training_plus100k.csv","11","45658","114.675676","90.423186","-0.000549","45.69"
"basic_mlp","basic_mlp_training_plus100k.csv","12","49840","102.0","79.027575","-0.000282","43.82"
"basic_mlp","basic_mlp_training_plus100k.csv","13","54176","117.189189","93.151762","-0.000226","45.48"
"basic_mlp","basic_mlp_training_plus100k.csv","14","58412","128.363636","103.995201","-0.000303","43.44"
"basic_mlp","basic_mlp_training_plus100k.csv","15","62741","144.3","115.958948","-0.000623","45.6"
"basic_mlp","basic_mlp_training_plus100k.csv","16","66869","125.090909","98.682219","-0.00048","43.52"
"basic_mlp","basic_mlp_training_plus100k.csv","17","71158","134.03125","107.099186","-4.7e-05","45.03"
"basic_mlp","basic_mlp_training_plus100k.csv","18","75409","132.84375","106.018041","-0.000467","48.16"
"basic_mlp","basic_mlp_training_plus100k.csv","19","79608","123.5","98.69894","-0.000636","45.36"
"basic_mlp","basic_mlp_training_plus100k.csv","20","83828","108.205128","84.69003","-0.000814","46.04"
"basic_mlp","basic_mlp_training_plus100k.csv","21","87953","142.241379","113.000485","8.1e-05","45.26"
"basic_mlp","basic_mlp_training_plus100k.csv","22","92343","118.648649","93.845794","-0.000257","47.9"
"basic_mlp","basic_mlp_training_plus100k.csv","23","96543","155.555556","124.763203","-9.8e-05","44.84"
"basic_mlp","basic_mlp_training_plus100k.csv","24","100771","176.166667","142.763471","-0.00031","44.96"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","1","4120","69.830508","53.443379","-0.000744","54.09"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","2","8346","81.269231","63.448197","-0.000876","55.33"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","3","12536","97.44186","77.028163","-0.000884","56.5"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","4","16681","101.097561","78.633168","8e-06","59.5"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","5","20800","74.890909","57.000507","-0.000556","53.26"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","6","24936","89.913043","68.90033","-0.00051","54.47"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","7","29052","68.6","51.430621","-0.000715","52.56"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","8","33226","134.645161","106.638535","-0.001003","59.29"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","9","37341","76.203704","58.819935","-0.000471","60.06"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","10","41452","63.246154","47.821648","-8.9e-05","58.2"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","11","45661","85.897959","66.569942","-0.000326","57.29"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","12","49984","86.46","67.816348","-0.000846","59.43"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","13","54094","89.347826","70.158485","0.000245","55.0"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","14","58206","74.763636","56.697787","-0.000975","55.54"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","15","62526","116.756757","92.882085","-0.000715","62.84"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","16","66760","88.208333","68.180351","0.000104","59.57"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","17","70877","102.925","81.424683","-0.000419","58.35"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","18","74995","93.590909","72.811668","-3e-05","59.64"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","19","79190","104.875","83.022473","-0.000245","58.52"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","20","83513","139.451613","112.518797","-0.000358","60.15"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","21","87808","104.756098","83.087734","-0.000822","59.01"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","22","92002","116.5","91.316278","-4.8e-05","59.78"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","23","96149","133.774194","107.707957","-0.000479","58.26"
"deep_sets_mean_max","deep_sets_mean_max_training_plus100k.csv","24","100484","114.078947","88.821291","-0.000525","58.74"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","1","4130","52.948718","38.635657","-0.000763","48.94"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","2","8242","53.402597","39.04544","-0.001346","48.03"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","3","12562","57.6","42.27803","-5e-06","50.19"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","4","16665","50.654321","37.000727","-0.000944","48.14"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","5","20763","56.136986","40.978094","-0.000738","47.46"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","6","24885","52.846154","38.904926","-0.000507","51.36"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","7","29023","45.472527","33.015061","-7.5e-05","49.52"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","8","33119","56.888889","42.215118","-7.6e-05","47.82"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","9","37478","59.712329","44.445381","-0.000165","51.2"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","10","41587","48.916667","35.761515","-0.000448","48.89"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","11","45701","62.333333","46.421034","-9.9e-05","49.08"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","12","49835","56.630137","41.423616","-0.000311","49.21"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","13","54080","66.328125","49.186443","-0.00055","50.63"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","14","58205","57.291667","42.036779","-0.000178","48.8"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","15","62530","70.901639","54.326478","-8e-05","50.92"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","16","66836","78.290909","60.727022","-0.000753","51.11"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","17","70959","62.469697","46.775378","-0.000325","48.66"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","18","75239","61.142857","45.544679","-4.9e-05","50.81"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","19","79446","75.125","56.728892","-8e-06","49.62"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","20","83780","61.042254","44.903439","-0.000134","50.89"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","21","88032","69.704918","53.416063","-0.000206","50.03"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","22","92177","60.072464","44.388683","-0.000763","51.76"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","23","96300","84.142857","65.569861","-0.000671","51.15"
"deep_sets_mean","deep_sets_mean_training_plus100k.csv","24","100415","54.866667","39.967676","-0.000179","50.65"
"self_attention","self_attention_training_plus100k.csv","1","4245","69.590164","52.195282","-0.000905","63.65"
"self_attention","self_attention_training_plus100k.csv","2","8466","71.542373","53.348069","-0.00027","63.7"
"self_attention","self_attention_training_plus100k.csv","3","12574","91.288889","69.854806","-0.000797","65.17"
"self_attention","self_attention_training_plus100k.csv","4","16731","92.377778","70.393181","-0.000156","70.91"
"self_attention","self_attention_training_plus100k.csv","5","20838","80.529412","59.966021","-0.00044","60.15"
"self_attention","self_attention_training_plus100k.csv","6","25150","107.8","85.036671","-0.000721","58.43"
"self_attention","self_attention_training_plus100k.csv","7","29317","101.634146","77.75224","-0.000541","56.17"
"self_attention","self_attention_training_plus100k.csv","8","33434","98.02381","76.298946","-5.8e-05","57.16"
"self_attention","self_attention_training_plus100k.csv","9","37650","86.040816","65.508702","-0.00055","61.76"
"self_attention","self_attention_training_plus100k.csv","10","41975","102.97619","79.459408","-1.8e-05","68.46"
"self_attention","self_attention_training_plus100k.csv","11","46285","105.121951","81.025348","2e-06","69.86"
"self_attention","self_attention_training_plus100k.csv","12","50426","98.595238","76.820614","-0.000216","62.64"
