iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4120,69.830508,53.443379,-0.000744,54.09
2,8346,81.269231,63.448197,-0.000876,55.33
3,12536,97.44186,77.028163,-0.000884,56.5
4,16681,101.097561,78.633168,8e-06,59.5
5,20800,74.890909,57.000507,-0.000556,53.26
6,24936,89.913043,68.90033,-0.00051,54.47
7,29052,68.6,51.430621,-0.000715,52.56
8,33226,134.645161,106.638535,-0.001003,59.29
9,37341,76.203704,58.819935,-0.000471,60.06
10,41452,63.246154,47.821648,-8.9e-05,58.2
11,45661,85.897959,66.569942,-0.000326,57.29
12,49984,86.46,67.816348,-0.000846,59.43
13,54094,89.347826,70.158485,0.000245,55.0
14,58206,74.763636,56.697787,-0.000975,55.54
15,62526,116.756757,92.882085,-0.000715,62.84
16,66760,88.208333,68.180351,0.000104,59.57
17,70877,102.925,81.424683,-0.000419,58.35
18,74995,93.590909,72.811668,-3e-05,59.64
19,79190,104.875,83.022473,-0.000245,58.52
20,83513,139.451613,112.518797,-0.000358,60.15
21,87808,104.756098,83.087734,-0.000822,59.01
22,92002,116.5,91.316278,-4.8e-05,59.78
23,96149,133.774194,107.707957,-0.000479,58.26
24,100484,114.078947,88.821291,-0.000525,58.74
