iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4130,52.948718,38.635657,-0.000763,48.94
2,8242,53.402597,39.04544,-0.001346,48.03
3,12562,57.6,42.27803,-5e-06,50.19
4,16665,50.654321,37.000727,-0.000944,48.14
5,20763,56.136986,40.978094,-0.000738,47.46
6,24885,52.846154,38.904926,-0.000507,51.36
7,29023,45.472527,33.015061,-7.5e-05,49.52
8,33119,56.888889,42.215118,-7.6e-05,47.82
9,37478,59.712329,44.445381,-0.000165,51.2
10,41587,48.916667,35.761515,-0.000448,48.89
11,45701,62.333333,46.421034,-9.9e-05,49.08
12,49835,56.630137,41.423616,-0.000311,49.21
13,54080,66.328125,49.186443,-0.00055,50.63
14,58205,57.291667,42.036779,-0.000178,48.8
15,62530,70.901639,54.326478,-8e-05,50.92
16,66836,78.290909,60.727022,-0.000753,51.11
17,70959,62.469697,46.775378,-0.000325,48.66
18,75239,61.142857,45.544679,-4.9e-05,50.81
19,79446,75.125,56.728892,-8e-06,49.62
20,83780,61.042254,44.903439,-0.000134,50.89
21,88032,69.704918,53.416063,-0.000206,50.03
22,92177,60.072464,44.388683,-0.000763,51.76
23,96300,84.142857,65.569861,-0.000671,51.15
24,100415,54.866667,39.967676,-0.000179,50.65
