iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4245,69.590164,52.195282,-0.000905,63.65
2,8466,71.542373,53.348069,-0.00027,63.7
3,12574,91.288889,69.854806,-0.000797,65.17
4,16731,92.377778,70.393181,-0.000156,70.91
5,20838,80.529412,59.966021,-0.00044,60.15
6,25150,107.8,85.036671,-0.000721,58.43
7,29317,101.634146,77.75224,-0.000541,56.17
8,33434,98.02381,76.298946,-5.8e-05,57.16
9,37650,86.040816,65.508702,-0.00055,61.76
10,41975,102.97619,79.459408,-1.8e-05,68.46
11,46285,105.121951,81.025348,2e-06,69.86
12,50426,98.595238,76.820614,-0.000216,62.64
13,54534,87.404255,66.528157,9e-06,62.36
14,58649,82.3,60.966325,-0.000497,58.71
15,62856,105.175,81.374265,-0.000326,64.01
16,67020,88.595745,67.821874,-0.000152,64.94
17,71130,108.157895,83.893903,-0.000108,61.51
18,75247,93.568182,71.378791,-0.000208,60.89
19,79371,121.294118,94.68629,-5.7e-05,63.22
20,83663,99.813953,76.479092,-0.00087,63.15
21,87773,102.75,79.361551,-0.00052,68.01
22,91894,100.512195,76.556532,-0.000628,70.22
23,96018,128.875,101.911822,-9.3e-05,80.78
24,100139,85.854167,63.210608,0.000125,68.39
