iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4101,20.61,12.792,0.0,-0.00327,nan,71.47
2,8203,24.13,15.491,0.0,-0.00084,nan,70.52
3,12332,22.32,14.137,0.0,-0.00083,nan,71.03
4,16515,24.75,16.108,0.0,-0.00148,nan,73.31
5,20626,25.22,16.491,0.0,-0.00048,nan,70.83
6,24728,25.64,16.811,0.0,-0.00051,nan,70.19
7,28827,23.56,15.481,0.0,-0.00089,nan,70.38
8,32932,24.15,15.694,0.0,-0.00153,nan,69.76
9,37111,29.02,19.706,0.0,-0.00076,nan,71.59
10,41240,28.28,19.107,0.0,-0.00053,nan,70.0
11,45348,26.5,17.757,0.0,-0.00088,nan,70.46
12,49450,26.46,17.435,0.0,-0.00057,nan,68.86
13,53552,31.08,21.352,0.0,-0.00041,nan,68.77
14,57666,31.89,22.007,0.0,-0.00042,nan,70.22
15,61787,31.22,21.478,0.0,-0.00039,nan,69.8
16,65929,32.87,22.894,0.0,-0.00048,nan,69.59
17,70049,33.77,23.29,0.0,-0.00076,nan,69.19
18,74168,33.49,23.184,0.0,-0.00035,nan,69.5
19,78293,34.38,24.121,0.0,-0.0003,nan,70.4
20,82588,35.5,24.943,0.0,-0.00034,nan,74.88
21,86791,38.56,27.375,0.0,-0.00029,nan,75.85
22,90922,33.86,23.414,0.0,-0.00098,nan,72.78
23,95055,42.17,30.086,0.0,-0.00021,nan,75.99
24,99155,34.45,24.074,0.0,-0.0015,nan,88.4
25,103258,37.3,25.897,0.0,-2e-05,nan,90.74
