iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4105,25.5,16.364,0.0,-0.00178,nan,70.98
2,8203,24.25,15.803,0.0,-0.00046,nan,69.78
3,12320,25.1,16.433,0.0,-0.00089,nan,67.16
4,16430,25.69,16.556,0.0,-0.00099,nan,69.23
5,20526,24.53,15.711,0.0,-0.00073,nan,74.26
6,24642,27.44,18.341,0.0,-0.00057,nan,73.49
7,28763,26.59,17.4,0.0,-0.00084,nan,77.02
8,32877,27.25,18.217,0.0,-0.00051,nan,78.94
9,36992,26.72,17.496,0.0,-0.00064,nan,76.71
10,41100,31.36,21.315,0.0,-0.00042,nan,76.38
11,45221,27.66,18.649,0.0,-0.00132,nan,76.28
12,49338,31.43,21.913,0.0,-0.0004,nan,76.27
13,53462,33.53,23.388,0.0,-0.00039,nan,76.93
14,57596,32.55,21.966,0.0,-0.00045,nan,76.01
15,61710,30.47,20.638,0.0,-0.00111,nan,76.75
16,65835,30.33,20.71,0.0,-0.00068,nan,71.74
17,69997,35.27,24.506,0.0,-0.00019,nan,70.31
18,74113,29.19,20.177,0.0,-0.00072,nan,69.12
19,78228,32.15,22.209,0.0,-0.00097,nan,70.86
20,82410,38.02,27.077,0.0,-0.00075,nan,69.9
21,86531,39.25,27.484,0.0,-0.00044,nan,69.92
22,90647,38.11,27.549,0.0,-0.00073,nan,69.14
23,94857,35.38,24.902,0.0,-0.00181,nan,70.96
24,98970,38.08,27.003,0.0,-0.00129,nan,68.73
25,103069,43.61,31.635,0.0,-0.00023,nan,68.71
