model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,highway-v0,34567,1,1000,0,500.519359323097,600,0,0,0,1,safeguarded,0.001,5,0.0020087542491334415,0.01694001443684101,413,0.6883333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,2,1001,2,500.5385746787708,600,0,0,0,1,safeguarded,0.001,5,0.001976509168201422,0.022957075387239456,437,0.7283333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,3,1002,1,500.66292546461824,600,0,0,0,1,safeguarded,0.001,5,0.0021166900955389184,0.013036403805017471,432,0.72
uncertainty2_self_attention_threshold,highway-v0,34567,4,1003,0,500.512458530973,600,0,0,0,1,safeguarded,0.001,5,0.0018907800982500096,0.009435338899493217,387,0.645
uncertainty2_self_attention_threshold,highway-v0,34567,5,1004,2,500.5694744234396,600,0,0,0,1,safeguarded,0.001,5,0.001992954678086486,0.008383814245462418,438,0.73
uncertainty2_self_attention_threshold,highway-v0,34567,6,1005,1,500.64523417058217,600,0,0,0,1,safeguarded,0.001,5,0.002074718886882086,0.01155317947268486,419,0.6983333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,7,1006,1,500.6553572986953,600,0,0,0,1,safeguarded,0.001,5,0.0020048476678978964,0.009911195375025272,410,0.6833333333333333
uncertainty2_self_attention_threshold,highway-v0,34567,8,1007,0,500.51153943380274,600,0,0,0,1,safeguarded,0.001,5,0.0020406546751837594,0.01140458881855011,418,0.6966666666666667
uncertainty2_self_attention_threshold,highway-v0,34567,9,1008,1,500.6498559356783,600,0,0,0,1,safeguarded,0.001,5,0.001978183456521947,0.01067429780960083,417,0.695
uncertainty2_self_attention_threshold,highway-v0,34567,10,1009,2,500.5614970138546,600,0,0,0,1,safeguarded,0.001,5,0.0020319019615211193,0.012285894714295864,427,0.7116666666666667
uncertainty2_self_attention_threshold,highway-v0,34567,11,1010,2,500.52193586557223,600,0,0,0,1,safeguarded,0.001,5,0.002102365580667538,0.010221879929304123,428,0.7133333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,12,1011,0,500.4814031290736,600,0,0,0,1,safeguarded,0.001,5,0.0020062312307163664,0.010634372010827065,417,0.695
uncertainty2_self_attention_threshold,highway-v0,34567,13,1012,2,500.56344975529345,600,0,0,0,1,safeguarded,0.001,5,0.0019612352423769154,0.011517533101141453,421,0.7016666666666667
uncertainty2_self_attention_threshold,highway-v0,34567,14,1013,0,500.5287983059766,600,0,0,0,1,safeguarded,0.001,5,0.0022160573086208992,0.014114053919911385,445,0.7416666666666667
uncertainty2_self_attention_threshold,highway-v0,34567,15,1014,1,500.6967667247958,600,0,0,0,1,safeguarded,0.001,5,0.0019452627671368342,0.008953924290835857,416,0.6933333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,16,1015,1,500.694074731713,600,0,0,0,1,safeguarded,0.001,5,0.002107263119566293,0.011701981537044048,430,0.7166666666666667
uncertainty2_self_attention_threshold,highway-v0,34567,17,1016,1,500.6477215162774,600,0,0,0,1,safeguarded,0.001,5,0.0020761115098866865,0.011283790692687035,432,0.72
uncertainty2_self_attention_threshold,highway-v0,34567,18,1017,2,500.6188983132122,600,0,0,0,1,safeguarded,0.001,5,0.00206112095250622,0.011241640895605087,422,0.7033333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,19,1018,2,500.62593153716733,600,0,0,0,1,safeguarded,0.001,5,0.0020070644356201227,0.010951893404126167,426,0.71
uncertainty2_self_attention_threshold,highway-v0,34567,20,1019,1,500.6380065427654,600,0,0,0,1,safeguarded,0.001,5,0.001961709817339094,0.015768934041261673,409,0.6816666666666666
uncertainty2_self_attention_threshold,highway-v0,34567,21,1020,2,500.55870466488204,600,0,0,0,1,safeguarded,0.001,5,0.0020973819528020007,0.012900082394480705,431,0.7183333333333334
uncertainty2_self_attention_threshold,highway-v0,34567,22,1021,0,500.5100246144641,600,0,0,0,1,safeguarded,0.001,5,0.0019427044001834777,0.013436559587717056,411,0.685
uncertainty2_self_attention_threshold,highway-v0,34567,23,1022,2,500.6021763455106,600,0,0,0,1,safeguarded,0.001,5,0.0019566283336522852,0.010049429722130299,399,0.665
uncertainty2_self_attention_threshold,highway-v0,34567,24,1023,0,500.5052909867692,600,0,0,0,1,safeguarded,0.001,5,0.0019559704436930285,0.00900912843644619,433,0.7216666666666667
