iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4097,12.12,7.56,0.0,-0.01036,nan,135.31
2,8199,13.41,8.699,0.0,-0.01164,nan,133.37
3,12314,20.17,14.574,0.0,-0.01243,nan,133.19
4,16444,36.55,28.753,0.0,-0.00487,nan,139.53
5,20552,41.49,32.821,0.0,-0.00042,nan,135.27
6,24659,63.18,51.162,0.0,-0.00321,nan,134.85
7,28763,50.67,41.064,0.0,-0.00016,nan,135.91
8,32875,50.77,41.163,0.0,-0.00274,nan,134.11
9,36981,72.04,59.072,0.0,-0.00141,nan,133.89
10,41079,56.14,45.754,0.0,-0.00144,nan,131.16
11,45255,60.52,49.408,0.0,-0.00186,nan,129.85
12,49399,71.45,59.095,0.0,-0.00128,nan,128.59
13,53640,81.56,67.129,0.0,-0.00182,nan,131.89
14,57815,94.89,77.962,0.0,-0.0022,nan,132.56
15,61936,121.21,99.717,0.0,-0.00122,nan,129.84
16,66132,135.35,111.569,0.0,-0.00132,nan,132.49
17,70340,175.33,145.154,0.0,-0.00053,nan,146.35
18,74724,168.62,139.934,0.0,-0.00169,nan,141.47
19,78852,165.12,136.89,0.0,-0.00074,nan,132.57
20,83062,175.42,145.577,0.0,-0.00034,nan,132.09
21,87189,165.08,137.049,0.0,-0.00036,nan,130.79
22,91290,227.83,189.781,0.0,-0.0009,nan,128.84
23,95500,221.58,184.403,0.0,-0.00044,nan,147.76
24,99784,214.2,178.243,0.0,-0.0004,nan,140.41
25,103951,277.8,231.744,0.0,9e-05,nan,132.06
