model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,12345,1,1000,134.2218677375303,169,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.00335747760388354,0.017382938414812088,163,0.9644970414201184
uncertainty2_self_attention_threshold,12345,2,1001,116.67473040408196,152,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0034419678371418023,0.02487856335937977,145,0.9539473684210527
uncertainty2_self_attention_threshold,12345,3,1002,27.80504663189285,44,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0029112029326576953,0.009289827197790146,41,0.9318181818181818
uncertainty2_self_attention_threshold,12345,4,1003,367.11429127685824,408,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002934819170203649,0.019576281309127808,384,0.9411764705882353
uncertainty2_self_attention_threshold,12345,5,1004,315.2426187128161,360,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003290400936344263,0.01455061137676239,344,0.9555555555555556
uncertainty2_self_attention_threshold,12345,6,1005,375.0048737560396,414,1,0,1,0,stay_best,safeguarded,0.0005,5,0.0030621996275809744,0.01592228189110756,393,0.9492753623188406
uncertainty2_self_attention_threshold,12345,7,1006,20.899649634927894,35,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002244773430616728,0.007404811214655638,32,0.9142857142857143
uncertainty2_self_attention_threshold,12345,8,1007,111.49431709869015,134,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.003182088350866306,0.015891430899500847,120,0.8955223880597015
uncertainty2_self_attention_threshold,12345,9,1008,25.091643956480475,38,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.002493903860484256,0.009774511680006981,35,0.9210526315789473
uncertainty2_self_attention_threshold,12345,10,1009,223.43189090151108,271,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0029684556249702674,0.013208109885454178,255,0.940959409594096
uncertainty2_self_attention_threshold,12345,11,1010,49.233015602865116,56,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0023721089386136945,0.009169173426926136,48,0.8571428571428571
uncertainty2_self_attention_threshold,12345,12,1011,430.17970969508303,485,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0027403189446783107,0.020511509850621223,458,0.9443298969072165
uncertainty2_self_attention_threshold,12345,13,1012,173.23351515671328,207,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003235593484897405,0.020856300368905067,195,0.9420289855072463
uncertainty2_self_attention_threshold,12345,14,1013,32.999433438598906,44,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002798383875911399,0.009947477839887142,42,0.9545454545454546
uncertainty2_self_attention_threshold,12345,15,1014,37.146927813370255,58,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002983213617598863,0.010806995443999767,55,0.9482758620689655
uncertainty2_self_attention_threshold,12345,16,1015,25.268915563956035,41,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0028548308920751256,0.010583551600575447,41,1.0
uncertainty2_self_attention_threshold,12345,17,1016,24.167892119079358,40,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002886063512778492,0.01040477491915226,35,0.875
uncertainty2_self_attention_threshold,12345,18,1017,43.20397984287338,53,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.002851082891212636,0.0075691621750593185,52,0.9811320754716981
uncertainty2_self_attention_threshold,12345,19,1018,50.167600285001406,61,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003322363495216018,0.01075319666415453,60,0.9836065573770492
uncertainty2_self_attention_threshold,12345,20,1019,27.604314647783784,45,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003218371889993755,0.014211404137313366,43,0.9555555555555556
uncertainty2_self_attention_threshold,12345,21,1020,444.84910599744626,486,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0028582527351909636,0.014809620566666126,463,0.9526748971193416
uncertainty2_self_attention_threshold,12345,22,1021,492.51353931765925,525,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.003050280818199445,0.019439030438661575,498,0.9485714285714286
uncertainty2_self_attention_threshold,12345,23,1022,475.1419463860049,525,0,0,0,1,stay_best,safeguarded,0.0005,5,0.003028794176591743,0.018636226654052734,498,0.9485714285714286
uncertainty2_self_attention_threshold,12345,24,1023,174.3074216329012,207,1,0,1,0,stay_best,safeguarded,0.0005,5,0.0029102688030860553,0.015407240018248558,198,0.9565217391304348
uncertainty2_self_attention_threshold,12345,25,1024,27.22418399623966,45,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0029368544100887247,0.009558347053825855,44,0.9777777777777777
uncertainty2_self_attention_threshold,12345,26,1025,175.0694123730806,208,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003229146648524105,0.012633285485208035,196,0.9423076923076923
uncertainty2_self_attention_threshold,12345,27,1026,18.690377313480315,32,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0031028636722112424,0.009834671393036842,31,0.96875
uncertainty2_self_attention_threshold,12345,28,1027,22.760964006947333,37,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0033399829738521695,0.010611765086650848,35,0.9459459459459459
uncertainty2_self_attention_threshold,12345,29,1028,24.893518102558804,40,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002757443977316143,0.013297392055392265,37,0.925
uncertainty2_self_attention_threshold,12345,30,1029,18.25443550831509,32,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0028549818289320683,0.00861409492790699,32,1.0
uncertainty2_self_attention_threshold,12345,31,1030,29.304586838364667,46,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0032898086912768044,0.012847877107560635,43,0.9347826086956522
uncertainty2_self_attention_threshold,12345,32,1031,53.57167971512961,65,1,0,1,0,stay_best,safeguarded,0.0005,5,0.004160496409391411,0.017805002629756927,61,0.9384615384615385
uncertainty2_self_attention_threshold,12345,33,1032,34.73175899361282,54,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002428510490938573,0.006890990771353245,53,0.9814814814814815
uncertainty2_self_attention_threshold,12345,34,1033,32.097595671935444,50,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0028513461592956446,0.012420308776199818,47,0.94
uncertainty2_self_attention_threshold,12345,35,1034,22.04265070006007,38,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0031100492464917664,0.009285702370107174,37,0.9736842105263158
uncertainty2_self_attention_threshold,12345,36,1035,317.9218875925806,376,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0030010995827243724,0.02085958980023861,354,0.9414893617021277
uncertainty2_self_attention_threshold,12345,37,1036,22.618689108152548,37,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.003069157154862517,0.017459318041801453,35,0.9459459459459459
uncertainty2_self_attention_threshold,12345,38,1037,27.27757348822358,44,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0033106578838752202,0.010624033398926258,41,0.9318181818181818
uncertainty2_self_attention_threshold,12345,39,1038,24.128348662505935,40,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.003436441612939234,0.018391374498605728,39,0.975
uncertainty2_self_attention_threshold,12345,40,1039,39.08502988164232,49,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0032069629367989755,0.013159929774701595,44,0.8979591836734694
uncertainty2_self_attention_threshold,12345,41,1040,247.4464634365347,289,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0028115878888623582,0.012652595527470112,277,0.9584775086505191
uncertainty2_self_attention_threshold,12345,42,1041,43.02090683724155,50,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.00344707002164796,0.01754443533718586,46,0.92
uncertainty2_self_attention_threshold,12345,43,1042,139.5972324251511,167,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002837463724095804,0.013431604020297527,159,0.9520958083832335
uncertainty2_self_attention_threshold,12345,44,1043,48.99172299940471,57,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0033407541430502184,0.013959156349301338,54,0.9473684210526315
uncertainty2_self_attention_threshold,12345,45,1044,250.94976925926525,296,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0029003813472848598,0.017271950840950012,277,0.9358108108108109
uncertainty2_self_attention_threshold,12345,46,1045,258.1973368055211,282,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.002963454316759066,0.012850280851125717,269,0.9539007092198581
uncertainty2_self_attention_threshold,12345,47,1046,41.708880804185604,58,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.00303609897046358,0.014033164829015732,56,0.9655172413793104
uncertainty2_self_attention_threshold,12345,48,1047,252.20161293264857,295,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0031492119660439222,0.01754516363143921,275,0.9322033898305084
uncertainty2_self_attention_threshold,12345,49,1048,60.430205555904884,83,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0031278528001703635,0.015476709231734276,81,0.9759036144578314
uncertainty2_self_attention_threshold,12345,50,1049,163.6277287503722,200,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0029890919046738416,0.012952329590916634,191,0.955
