iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4103,10.85,5.898,0.0,-0.01099,nan,81.28
2,8218,12.28,6.991,0.0,-0.00806,nan,80.55
3,12323,16.55,10.279,0.0,-0.01539,nan,78.33
4,16439,27.81,19.431,0.0,-0.00495,nan,76.96
5,20549,33.69,24.501,0.0,-0.00086,nan,76.6
6,24656,41.07,30.107,0.0,-0.00268,nan,76.17
7,28761,36.98,27.318,0.0,-0.00046,nan,76.81
8,32873,42.39,31.498,0.0,-0.00378,nan,79.62
9,36975,47.15,35.604,0.0,-0.00012,nan,87.99
10,41080,45.11,34.086,0.0,-0.00223,nan,78.38
11,45210,46.93,34.662,0.0,-0.00112,nan,79.78
12,49424,54.73,41.489,0.0,-0.00196,nan,81.02
13,53578,59.34,45.401,0.0,-0.00178,nan,82.18
14,57720,61.82,46.834,0.0,-0.00119,nan,79.47
15,61859,60.87,46.711,0.0,-0.00083,nan,78.13
16,65966,72.05,56.204,0.0,-0.0016,nan,78.48
17,70102,75.2,59.001,0.0,-0.00047,nan,78.31
18,74209,102.68,81.405,0.0,-0.00072,nan,77.81
19,78346,98.5,78.817,0.0,-0.00034,nan,77.89
20,82535,104.72,82.947,0.0,-0.00148,nan,76.97
21,86783,111.79,89.302,0.0,-0.00099,nan,81.07
22,90932,103.72,83.255,0.0,-0.00101,nan,76.22
23,95058,121.35,97.207,0.0,-0.00094,nan,77.54
24,99177,108.39,85.395,0.0,-0.00044,nan,79.69
25,103287,141.72,114.712,0.0,-0.00087,nan,82.97
