iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_action_std,iteration_seconds
1,4108,11.013405,6.452852,-0.000885,0.222307,62.9
2,8208,11.232877,6.686228,-0.000876,0.222203,61.06
3,12316,11.703704,7.084157,-0.001011,0.222088,61.97
4,16462,12.601824,7.874967,-0.000973,0.221976,60.81
5,20562,11.549296,6.952972,-0.001078,0.221865,56.91
6,24672,11.776504,7.149327,-0.001897,0.221766,64.95
7,28781,13.742475,8.88018,-0.000613,0.221662,62.56
8,32883,12.136095,7.423303,-0.000782,0.22157,61.95
9,36983,12.893082,8.12097,-0.00092,0.221485,61.27
10,41092,14.417544,9.408691,-0.00126,0.221407,60.78
11,45193,14.912727,9.78626,-0.001178,0.221352,61.23
12,49294,14.805054,9.74273,-0.000976,0.22133,59.8
13,53393,15.826255,10.619882,-0.000825,0.221307,60.97
14,57490,15.287313,10.052392,-0.001059,0.221282,61.67
15,61612,15.496241,10.316493,-0.001422,0.22125,63.7
16,65717,17.693966,12.258925,-0.001186,0.221233,61.63
17,69857,16.897959,11.588994,-0.000812,0.221217,61.86
18,73970,16.787755,11.493896,-0.001473,0.221187,60.31
