iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4103,27.536913,18.794395,-0.000529,42.97
2,8204,29.292857,20.158743,-0.000431,42.74
3,12307,30.619403,21.231615,-0.000438,43.18
4,16459,31.938462,22.330298,-0.000515,44.28
5,20579,28.811189,19.847222,-0.00053,44.14
6,24677,36.918919,26.596779,-0.000404,43.89
7,28775,30.355556,20.861595,-0.000641,42.7
8,32874,35.336207,25.231301,-0.000464,42.34
9,37003,33.844262,24.083578,-0.000286,42.95
10,41128,42.96875,31.765714,-0.000259,42.9
11,45225,32.776,23.32354,-0.000291,42.71
12,49335,35.73913,25.699459,-0.000338,43.37
