iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4175,67.33871,48.377013,0.000114,56.33
2,8309,44.451613,29.77242,-0.000468,54.06
3,12413,50.666667,34.910925,-8.8e-05,54.19
4,16531,48.447059,33.485036,-0.000576,53.78
5,20662,64.546875,46.448584,-0.000681,54.73
6,24805,50.52439,34.781572,0.000332,53.56
7,28922,52.782051,36.660616,-0.000455,54.7
8,33136,54.727273,38.849514,-0.001042,56.57
9,37375,67.285714,49.200351,-0.000808,56.57
10,41484,47.229885,32.394405,0.000186,55.35
11,45687,67.790323,49.468562,-0.000178,55.51
12,49929,58.916667,42.894556,-0.000405,57.35
