iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4104,27.178808,18.209074,-0.000432,43.57
2,8215,29.156028,19.737607,-0.000711,43.12
3,12327,29.797101,20.75935,-0.000445,43.84
4,16564,29.22069,20.177505,-0.000742,44.5
5,20675,30.007299,20.835248,-0.001003,43.91
6,24781,30.87218,21.288521,-0.000497,43.57
7,28900,36.131579,25.848941,-0.000547,43.44
8,33042,35.706897,25.516513,-0.000665,43.96
9,37155,41.545455,30.208739,-0.000424,43.4
10,41469,44.9375,33.274656,-0.000714,45.47
11,45620,40.696078,30.053133,-0.000542,44.1
12,49737,42.443299,30.920428,-0.001097,43.64
