iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4111,37.715596,26.865014,-0.000308,46.92
2,8232,47.918605,34.881524,-0.000702,46.13
3,12351,40.382353,28.650962,-0.000651,46.52
4,16502,44.634409,31.996179,-0.000316,46.79
5,20651,57.625,42.961716,-0.000688,46.9
6,24778,47.988372,34.676102,-0.000401,46.37
7,28882,49.445783,35.426129,-0.001118,46.74
8,33004,67.57377,50.877323,-0.000135,46.42
9,37195,56.635135,41.708812,-0.000679,46.53
10,41533,61.971429,47.03906,-0.001111,49.87
11,45633,52.564103,38.555771,-0.000837,46.68
12,49756,76.351852,58.905649,-6.7e-05,48.27
13,53864,73.357143,55.09889,-0.000364,46.42
14,57983,63.369231,47.824246,-0.000668,46.33
15,62302,73.20339,55.185356,-0.000638,48.81
16,66546,73.172414,55.266196,-0.000215,47.46
17,70684,72.596491,54.57411,-0.000481,46.6
18,74788,78.923077,60.647579,-0.000202,45.62
19,78892,89.217391,69.079356,-0.000135,46.82
20,83012,91.555556,70.557722,-0.000288,46.98
21,87280,80.528302,61.643926,-0.000597,48.27
22,91380,67.213115,50.20034,2.1e-05,47.65
23,95666,89.291667,69.110817,-0.000214,49.35
24,99784,82.36,63.022985,-0.000291,45.97
