iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4289,62.15942,43.100158,-0.000141,58.19
2,8415,73.678571,52.852104,-0.000192,55.84
3,12511,69.423729,49.668153,-0.000329,54.63
4,16646,58.239437,40.29365,-0.000329,55.08
5,20799,76.907407,56.361629,-0.000151,56.41
6,25083,77.890909,56.381994,-0.001314,58.75
7,29391,62.434783,44.213485,-0.000372,59.38
8,33732,88.591837,67.062866,-0.000355,58.36
9,37879,72.754386,51.57987,-0.000183,56.65
10,42044,80.096154,59.554497,-5e-05,55.9
11,46375,131.242424,100.669143,-4.2e-05,59.86
12,50481,72.035088,52.600638,-9.9e-05,56.06
