iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4100,20.0,12.241325,-0.004185,58.56
2,8209,21.973262,13.84708,-0.002521,57.87
3,12327,21.78836,13.652266,-0.002182,57.8
4,16427,25.308642,15.90273,-0.000491,57.2
5,20534,27.019737,17.3247,-0.00018,57.64
6,24651,24.360947,15.564634,-0.000738,57.76
7,28768,24.652695,15.859495,-0.001132,57.62
8,32892,29.457143,19.906544,-0.000734,57.82
9,36994,28.486111,19.026823,-0.000671,57.37
10,41105,33.975207,22.730122,-0.000857,57.56
11,45209,27.72973,18.280068,-0.000639,56.78
12,49346,27.039216,17.791384,-0.000307,57.88
13,53456,31.860465,21.255332,-0.00043,57.36
14,57557,33.614754,22.737222,-0.000492,57.08
15,61659,31.312977,21.60482,-0.000638,57.83
16,65767,30.205882,20.642131,-0.000575,58.93
17,69873,30.191176,20.555573,-0.000667,58.0
18,73978,33.373984,23.335003,-0.000292,57.65
19,78182,38.218182,26.993685,-0.000496,61.74
20,82333,37.396396,26.184421,-0.000483,58.46
21,86452,34.041322,23.506257,-0.001188,54.38
22,90554,43.178947,30.503156,-7.3e-05,48.14
23,94678,38.185185,27.163936,-0.000405,49.47
24,98804,36.192982,24.977558,-0.000569,49.39
25,102931,42.112245,29.611903,-0.000289,49.32
