iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,14.082474,7.974322,-0.003032,55.11
2,8210,16.514056,9.690371,-0.003593,49.78
3,12322,16.580645,9.731672,-0.003072,48.77
4,16429,16.971074,9.867891,-0.00267,51.1
5,20536,19.84058,12.051228,-0.002699,49.2
6,24650,20.57,12.81373,-0.002052,48.1
7,28751,21.030769,13.205056,-0.001683,47.96
8,32848,23.146893,14.854316,-0.001587,48.62
9,36947,24.39881,15.824289,-0.001061,50.38
10,41084,25.22561,16.621989,-0.001073,46.65
11,45210,25.312883,16.499098,-0.00079,44.4
12,49339,27.164474,17.895027,-0.000644,48.38
13,53483,27.084967,17.656794,-0.000609,43.47
14,57599,25.886792,16.987584,-0.000706,49.38
15,61742,27.078431,18.128341,-0.000571,48.08
16,65883,29.791367,20.146101,-0.000541,50.65
17,69990,28.922535,19.210659,-0.000555,47.48
18,74133,30.021739,20.380727,-0.000649,41.89
19,78240,33.942149,23.456342,-0.000448,42.79
20,82340,29.078014,19.672799,-0.000692,41.02
21,86440,32.539683,22.847578,-0.000705,42.2
22,90576,33.901639,23.628436,-0.000537,43.14
23,94702,34.672269,24.367877,-0.000475,40.78
24,98811,33.958678,23.833816,-0.000637,40.31
25,102948,39.778846,28.635803,-0.000538,40.46
26,107078,38.598131,27.518256,-0.000545,40.54
27,111270,37.765766,27.16186,-0.000746,41.03
28,115394,38.90566,27.598883,-0.000759,41.11
29,119508,39.180952,28.475199,-0.000642,40.09
30,123666,42.0,30.593543,-0.000667,40.39
31,127763,48.77381,36.179859,-0.000643,39.49
32,131863,44.565217,32.300775,-0.000387,41.19
33,136043,48.045977,35.732123,-0.000377,40.44
34,140173,50.365854,36.791928,-0.000441,40.72
35,144322,53.883117,40.712846,-0.000569,40.45
36,148447,44.836957,32.245888,-0.000535,40.62
37,152625,59.685714,44.65402,-0.000566,41.73
38,156734,54.065789,41.183355,-0.000714,39.74
39,160924,59.014085,44.658497,-0.000521,41.21
40,165030,65.174603,49.177293,-0.000352,39.97
41,169239,67.887097,52.086018,-0.000349,41.0
42,173449,72.586207,56.547845,-0.000516,41.12
43,177560,72.122807,55.012702,-0.000586,40.69
44,181914,85.372549,66.637499,-0.000487,43.27
45,186010,66.064516,50.686132,-0.000544,40.39
46,190208,104.95,85.014111,-0.000278,42.68
47,194314,69.59322,53.477353,-0.000675,40.51
48,198493,70.830508,53.619691,-0.00029,42.0
49,202640,94.25,74.134844,-0.00024,41.38
