iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_action_std,iteration_seconds
1,4096,16.0,10.411638,-0.001449,0.221139,68.03
2,8194,16.197628,10.778187,-0.000539,0.2211,61.3
3,12295,16.738776,11.195878,-0.001697,0.221068,59.85
4,16431,16.744939,11.095011,-0.000656,0.221028,62.38
5,20529,19.893204,13.921043,-0.000722,0.220974,61.06
6,24638,18.59276,12.719294,-0.000609,0.220905,59.66
7,28741,18.73516,13.011327,-0.001097,0.220839,60.94
8,32867,21.378238,15.189898,-0.000528,0.220761,60.84
9,36995,21.957447,15.905486,-0.000576,0.220686,60.32
10,41094,21.573684,15.270146,-0.000891,0.220622,67.49
11,45201,22.442623,16.194677,-0.000439,0.220584,69.62
12,49340,22.617486,16.384371,-0.001267,0.220539,64.5
