iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4134,27.56,18.842306,-0.001003,47.67
2,8250,30.488889,20.506726,-0.000693,47.96
3,12350,28.873239,19.194314,-0.000696,48.03
4,16457,28.520833,19.287829,-0.000838,48.42
5,20563,32.078125,21.578959,-0.000445,48.0
6,24678,30.93985,21.221663,-0.000865,47.93
7,28791,29.804348,20.200567,-0.001033,49.89
8,32901,34.830508,24.407722,-0.000495,50.23
9,37017,32.928,22.909884,-0.000896,51.36
10,41140,35.239316,24.648318,-0.000421,50.41
11,45246,36.990991,26.438407,-0.000494,50.9
12,49378,35.930435,24.68785,-0.000534,50.33
13,53484,36.017544,25.181158,-0.000789,50.55
14,57587,36.633929,25.648058,-0.00079,50.22
15,61715,37.87156,26.841101,-0.000553,50.71
16,65815,42.708333,30.668864,-0.00052,50.91
17,69966,42.793814,30.920467,-0.000788,51.52
18,74079,41.13,28.657208,-0.000195,50.59
19,78216,44.967391,32.283956,-0.000432,50.85
20,82319,44.597826,32.006444,-0.000523,50.89
21,86477,45.195652,32.470952,-0.000483,51.25
22,90579,46.613636,34.079258,-0.000348,50.51
23,94776,44.178947,31.70032,-0.000457,51.89
24,98906,52.948718,39.288591,-0.000461,53.22
