iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4096,55.351351,39.249824,-0.000588,62.68
2,8358,44.863158,30.58441,-0.000931,64.81
3,12480,53.532468,36.665995,-0.000461,62.96
4,16578,54.64,38.220932,-0.000424,62.92
5,20676,53.921053,37.181383,-0.00096,62.43
6,24941,55.38961,38.500356,-0.000535,65.97
7,29086,52.468354,36.442464,-0.000557,64.52
8,33422,72.266667,54.151092,-0.001112,66.77
9,37521,73.196429,53.581416,4.8e-05,62.44
10,41623,64.09375,45.496301,-6.9e-05,62.63
11,45779,70.440678,51.168592,-0.000287,63.84
12,49906,64.484375,47.148988,-0.000655,64.09
