iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4109,23.751445,15.677579,-0.001072,46.27
2,8218,26.856209,18.007658,-0.000811,46.47
3,12320,25.962025,17.341767,-0.000431,45.77
4,16445,25.0,16.690421,-0.000696,45.72
5,20543,27.503356,18.707483,-0.000619,45.64
6,24700,28.278912,19.337233,-0.000859,45.92
7,28805,28.908451,20.024628,-0.000953,46.81
8,32933,30.80597,21.226847,-0.001129,47.75
9,37043,34.830508,25.211082,-0.001531,46.19
10,41162,30.511111,21.277909,-0.000726,46.04
11,45269,32.085938,22.243196,-0.001146,45.85
12,49450,34.841667,24.811388,-0.000709,46.38
