iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4200,41.176471,29.453593,-0.000678,49.24
2,8307,42.78125,30.83371,-0.000467,49.07
3,12418,39.528846,28.177408,-0.000685,49.61
4,16536,36.122807,25.107358,-0.001163,48.9
5,20667,41.727273,30.060494,-0.000919,48.94
6,24781,41.14,29.899463,-0.000679,48.58
7,28877,46.022472,33.422816,-0.00026,49.15
8,33003,44.847826,32.609865,-0.000524,50.31
9,37116,52.730769,39.228344,-0.000961,49.37
10,41220,49.445783,35.930722,-0.000818,48.17
11,45340,46.292135,33.887084,-0.000174,48.65
12,49443,49.433735,36.260936,-0.000321,49.12
13,53590,54.565789,40.162084,-0.00072,48.91
14,57689,63.061538,46.869917,-6.9e-05,48.61
15,61844,79.903846,61.16164,-0.000283,49.96
16,65948,80.470588,62.373791,-0.000439,48.31
17,70085,64.640625,48.672757,-0.000318,48.57
18,74209,73.642857,55.592137,-0.000647,49.76
19,78325,79.153846,60.131848,-0.000703,49.2
20,82424,73.196429,54.266356,-0.000817,48.26
21,86769,90.520833,69.765934,-2.6e-05,52.24
22,90873,89.217391,69.241388,-0.000818,48.53
23,95012,98.547619,75.735121,-0.000714,49.78
24,99129,77.679245,57.935577,-0.000842,48.29
