iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4163,92.511111,69.26037,5e-05,60.5
2,8424,85.22,64.025181,-0.000669,62.65
3,12611,80.519231,58.947545,0.000123,62.36
4,16720,74.709091,54.461491,-5.8e-05,60.07
5,21110,79.818182,58.642117,-0.001804,64.97
6,25278,69.466667,49.972141,0.000473,61.43
7,29403,72.368421,52.237895,-8.9e-05,60.74
8,33610,100.166667,76.210171,-0.000223,62.18
9,37733,64.421875,45.313472,-1e-06,60.58
10,41861,84.244898,63.205288,-0.000744,61.89
11,45968,73.339286,53.738568,-8.7e-05,61.32
12,50123,98.928571,74.504991,-0.001415,62.16
