iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4101,11.266484,5.708501,-0.005106,55.48
2,8198,11.739255,5.956634,-0.004182,54.99
3,12302,12.361446,6.446492,-0.003425,64.49
4,16402,13.531353,7.229181,-0.005384,62.61
5,20527,16.905738,9.739877,-0.004618,56.89
6,24624,16.453815,9.374525,-0.004374,54.37
7,28722,19.607656,11.763958,-0.005034,53.52
8,32848,24.414201,15.417589,-0.004725,55.4
9,36972,28.441379,19.017514,-0.004142,53.29
10,41151,30.727941,20.811865,-0.002595,53.62
11,45269,36.122807,24.676499,-0.002244,54.09
12,49379,38.411215,27.352024,-0.002906,53.47
13,53481,40.613861,29.316174,-0.002006,52.5
14,57583,44.586957,31.821855,-0.001761,52.15
15,61754,47.397727,33.739142,-0.001727,53.32
16,65877,52.858974,38.337029,-0.000822,53.04
17,70059,64.338462,47.765831,-0.001067,55.03
18,74157,65.047619,48.383524,-0.001004,53.2
19,78295,65.68254,48.520143,-0.00036,54.47
20,82418,95.883721,73.97727,-0.000992,54.17
21,86518,80.392157,60.877834,-0.001108,53.39
22,90872,111.641026,88.054974,-0.000367,56.11
23,95040,81.72549,62.604725,-0.000313,54.25
24,99211,97.0,76.196056,-0.00017,54.75
25,103339,117.942857,94.026821,-0.000259,54.24
