iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4105,16.619433,9.693007,-0.006444,50.59
2,8210,17.770563,10.533516,-0.006003,50.05
3,12318,20.437811,12.619495,-0.003971,50.0
4,16418,24.404762,15.896883,-0.003248,49.29
5,20514,24.97561,16.470565,-0.001884,49.37
6,24648,31.318182,21.078271,-7.5e-05,49.46
7,28759,29.364286,19.999073,-0.000251,49.23
8,32858,26.616883,17.453119,-0.000593,49.06
9,36957,26.79085,17.532297,-0.000664,49.65
10,41053,29.467626,19.96516,-0.000906,49.13
11,45160,25.66875,16.908877,-0.000463,49.2
12,49270,31.374046,21.406094,-0.000265,49.31
13,53415,28.586207,18.628854,-0.000478,49.6
14,57532,32.164062,22.423701,-0.000294,49.05
15,61732,33.070866,22.399033,-0.000163,51.56
16,65833,36.616071,25.415982,-0.000432,49.23
17,70002,30.881481,21.081921,-0.000167,49.59
18,74110,30.42963,20.765986,-0.000325,49.06
19,78247,36.9375,25.483138,-0.000312,49.01
20,82366,35.508621,24.918368,-0.000428,49.47
21,86481,32.65873,22.203865,-0.000348,49.03
22,90601,35.826087,24.666276,-0.000502,48.83
23,94707,34.79661,24.176863,-0.000525,48.74
24,98806,39.038095,27.947635,-0.000327,48.79
25,102910,38.0,25.942421,-0.000878,49.21
26,107014,34.779661,24.045025,-0.000461,48.9
27,111131,36.114035,25.614131,-0.001033,49.09
28,115345,38.309091,26.987964,-0.000135,50.37
29,119472,37.18018,26.299797,-0.00051,48.81
30,123589,40.762376,29.166033,-0.000303,48.86
31,127702,43.755319,31.010608,-0.000681,48.95
32,131862,46.741573,33.179457,-0.000282,49.3
33,135981,47.895349,34.056421,-0.000306,49.48
34,140111,44.891304,31.754872,-0.000597,48.66
35,144211,46.067416,32.6908,-0.00054,48.52
36,148361,57.638889,42.793776,-0.00014,49.86
37,152489,46.909091,33.619684,-0.000241,49.56
38,156737,59.830986,44.63451,-0.000247,51.39
39,160851,61.402985,45.178085,-0.000186,49.82
40,165070,62.044118,46.491362,-0.000109,50.0
41,169213,56.753425,42.28737,-0.000366,49.03
42,173309,58.514286,43.003487,-0.000473,48.37
43,177441,68.866667,51.523936,-0.000573,49.49
44,181577,55.891892,40.664459,-0.000572,49.55
45,185806,69.327869,51.90979,-0.000168,50.42
46,189921,63.307692,46.857419,-0.000909,48.66
47,194099,69.633333,52.075518,0.000154,49.9
48,198226,64.484375,47.810511,-0.000536,49.61
49,202396,81.764706,62.846987,-0.000317,50.21
